tags,scores
"['calculator', 'android', 'selection', 'note', 'value']","[4.605170185988092, 2.629918422989986, 2.629918422989986, 1.9944450276995833, 1.8971199848858813]"
"['connecte', 'device', 'application', 'mean', 'thank']","[3.453877639491069, 3.2188758248682006, 2.1100580375700275, 1.9944450276995833, 1.8059592064889038]"
"['denormalizers', 'collection', 'meteor', 'facilitate', 'scenario']","[3.223619130191664, 2.8052463178559854, 2.763102111592855, 2.763102111592855, 2.763102111592855]"
"['duplicate', 'enter', 'description', 'kind', 'image']","[2.9340172540711094, 2.9340172540711094, 2.9340172540711094, 2.629918422989986, 2.4141568686511503]"
"['asset', 'demand', 'ar', 'reality', 'tag']","[3.912023005428146, 3.223619130191664, 3.223619130191664, 2.763102111592855, 2.763102111592855]"
"['py', 'sqla', 'cx', 'freeze', 'lib']","[4.605170185988092, 3.7828183670616466, 3.124936911920491, 3.124936911920491, 3.124936911920491]"
"['swap', 'movement', 'vice', 'versa', 'target']","[4.605170185988092, 3.684136148790474, 2.763102111592855, 2.763102111592855, 2.3965858188431928]"
"['margin', 'sidebar', 'width', 'flexbox', 'space']","[4.605170185988092, 3.8376418216567427, 3.0701134573253945, 3.0701134573253945, 3.0701134573253945]"
"['nodejs', 'help', 'lass', 'text', 'post']","[2.629918422989986, 1.1704858111985013, 0.11306627835189194, 0.010050335853501506, 0.00753775189012613]"
"['behaves', 'snippet', 'jsx', 'bracket', 'inner']","[2.8142706692149453, 2.6080153369520973, 2.5584278811044956, 2.5584278811044956, 2.5584278811044956]"
"['submit', 'form', 'body', 'care', 'ejs']","[3.8376418216567427, 3.506557897319982, 3.2600191711901214, 3.0701134573253945, 3.0701134573253945]"
"['period', 'provide', 'registration', 'letter', 'character']","[3.129618404342517, 2.763102111592855, 2.763102111592855, 2.763102111592855, 2.738416103799702]"
"['color', 'titlebar', 'mainpage', 'blank', 'suggestion']","[3.506557897319982, 2.8782313662425576, 2.8782313662425576, 2.8782313662425576, 2.629918422989986]"
"['box', 'restrict', 'scroll', 'bar', 'break']","[3.912023005428146, 3.453877639491069, 3.453877639491069, 2.9340172540711094, 2.9340172540711094]"
"['datafrmae', 'extract', 'output', 'value', 'data']","[2.8782313662425576, 2.629918422989986, 2.2467992051654933, 1.1856999905536758, 0.9463298328936097]"
"['spotify', 'axios', 'redux', 'api', 'line']","[3.453877639491069, 3.453877639491069, 3.453877639491069, 2.995732273553991, 2.1100580375700275]"
"['aggregate', 'workaround', 'postgresql', 'median', 'percentile']","[4.093484609767192, 4.093484609767192, 3.5817990335462935, 3.5817990335462935, 3.3259562454358442]"
"['probability', 'evaluate', 'becomes', 'exp', 'sum']","[4.605170185988092, 3.0110728139152907, 2.656828953454668, 2.656828953454668, 2.5624846172722946]"
"['controller', 'event', 'listener', 'detects', 'manipulates']","[3.068238160154984, 2.8134107167600364, 2.68951581623185, 2.5904082296183017, 2.5904082296183017]"
"['email', 'cron', 'send', 'concern', 'pull']","[4.605170185988092, 3.453877639491069, 2.9340172540711094, 2.68634927515972, 2.68634927515972]"
"['cs', 'transition', 'downwards', 'drop', 'opacity']","[3.506557897319982, 3.453877639491069, 3.453877639491069, 3.453877639491069, 3.453877639491069]"
"['lunch', 'dinner', 'pm', 'hour', 'generate']","[4.02952391273958, 4.02952391273958, 4.02952391273958, 3.453877639491069, 3.453877639491069]"
"['cell', 'pointer', 'container', 'con', 'grasp']","[4.605170185988092, 2.68634927515972, 2.6080153369520973, 2.494467184076883, 2.494467184076883]"
"['datasource', 'vikramsinghsengar', 'springbootmultidatasource', 'fetching', 'hibernate']","[4.605170185988092, 3.453877639491069, 3.453877639491069, 3.453877639491069, 3.453877639491069]"
"['route', 'uri', 'event', 'duplicate', 'reason']","[3.2188758248682006, 2.8782313662425576, 2.461734377165032, 2.445014378392591, 2.1915986858249887]"
